Municipality,Category,Resource Name,URL,Notes
Lochbuie,Property Assessment,Weld County Assessor (Weld Co. portion),https://www.weld.gov/Government/Departments/Assessor/Property-Data-Search,For Weld County parcels in Lochbuie
Lochbuie,Property Tax / Treasurer,Adams County Tax Payment (Adams Co. portion),https://adcotax.com/treasurer/web/login.jsp,For Adams County parcels
Lochbuie,Property Tax / Treasurer,Weld County Treasurer (Weld Co. portion),https://www.weldgov.com/departments/treasurer,For Weld County parcels
Lochbuie,Deed / Title Records,Adams Co. Landmark Web Document Search,https://recording.adcogov.org/landmarkweb,For Adams County parcels
Lochbuie,Deed / Title Records,Weld County Clerk & Recorder,https://www.weld.gov/Government/Departments/Clerk-Recorder,For Weld County parcels
Lochbuie,GIS / Mapping,Zoning Map,https://www.lochbuie.org/administration/page/zoning-map,Official town zoning map
Lochbuie,Permits,Building Permits & Inspections,https://www.lochbuie.org/community-dev/page/building-permits-and-inspections,Building permits (contracted to SAFEbuilt)
Lochbuie,Permits,Do I Need a Permit?,https://www.lochbuie.org/community-dev/page/do-i-need-permit,Permit requirement guide
Lochbuie,Permits,Building Guides & Checklists,https://www.lochbuie.org/building/page/guides-and-checklists,Application checklists
Lochbuie,Zoning / Planning,Current Planning,https://www.lochbuie.org/community-dev/page/current-planning,Active planning applications
Lochbuie,Zoning / Planning,Municipal Code (Municode),https://library.municode.com/co/lochbuie/codes/municipal_code,Full zoning and municipal code
Lochbuie,Flood Zone,FEMA Map Service Center,https://msc.fema.gov/,Address-specific FEMA FIRM lookup
Lochbuie,Flood Zone,Adams County Floodplain (Adams portion),https://adamscountyco.gov/our-county/community-economic-development/floodplain-management/,County floodplain resources for Adams Co. portion
Lochbuie,School Districts,School District 27J,https://www.sd27j.org/,Primary school district for Lochbuie
Arvada,Property Assessment,Adams County Assessor (small Adams Co. portion),https://adcogov.org/property-look,For the small eastern Adams County portion of Arvada
Arvada,Property Assessment,Jefferson County Assessor (primary),https://propertysearch.jeffco.us/,For the primary Jefferson County portion of Arvada
Arvada,Property Tax / Treasurer,Jefferson County Treasurer (primary),https://jeffco.us/1293/Treasurer,For Jefferson County parcels
Arvada,Property Tax / Treasurer,Adams County Tax Payment (Adams Co. portion),https://adcotax.com/treasurer/web/login.jsp,For Adams County parcels
Arvada,Deed / Title Records,Jefferson County Clerk & Recorder,https://www.jeffco.us/1288/Clerk-Recorder,For Jefferson County parcels
Arvada,Deed / Title Records,Adams Co. Landmark Web Document Search,https://recording.adcogov.org/landmarkweb,For Adams County parcels
Arvada,GIS / Mapping,Arvada Open Data / GIS Hub (ArcGIS),https://gis-arvada.opendata.arcgis.com/,Downloadable GIS datasets including parcels
Arvada,GIS / Mapping,Maps and Property Search,https://www.arvadaco.gov/702/Maps-and-Property-Search,City map and property portal
Arvada,GIS / Mapping,Economic Development Maps,https://arvadaeconomicdevelopment.org/intel/maps/,Development pipeline and market maps
Arvada,Permits,eTRAKiT Portal,https://arvadapermits.org/,Online permit search and applications
Arvada,Permits,Building Permits Page,https://www.arvadaco.gov/332/Building-Permits,Building permit info
Arvada,Permits,Check Permit Status / Schedule Inspection,https://www.arvadaco.gov/729/Check-the-Status-of-a-Permit-Schedule-a-,Permit status and inspection scheduling
Arvada,Permits,eTRAKiT Permit Search,https://permits.arvada.org/etrakit3/Search/permit.aspx,Direct permit lookup
Arvada,Zoning / Planning,Zoning Main Page,https://www.arvadaco.gov/168/Zoning,Zoning department with interactive zoning district map
Arvada,Zoning / Planning,Speak Up Arvada (Community / Planning),https://speakup.arvadaco.gov/,Community engagement for planning and comprehensive plan
Arvada,Flood Zone,Jefferson County Floodplain (primary),https://www.jeffco.us/2019/Flood-Mapping-and-Information,For Jefferson County portion
Arvada,Flood Zone,Adams County Floodplain (Adams portion),https://adamscountyco.gov/our-county/community-economic-development/floodplain-management/,For Adams County portion
Arvada,Flood Zone,FEMA Map Service Center,https://msc.fema.gov/,Address-specific FEMA FIRM lookup
Arvada,Economic Development,Arvada Economic Development Association,https://arvadaeconomicdevelopment.org/,City economic development organization
Arvada,Short-Term Rental,STR License,https://www.arvadaco.gov/,Annual license required; $350 fee
Arvada,Crime / Safety,Crime Maps & Statistics,https://www.arvadaco.gov/538/Crime-Maps-Statistics,LexisNexis Community Crime Map
Arvada,School Districts,Jefferson County Public Schools (primary),https://www.jeffcopublicschools.org/,Primary district for most of Arvada
Arvada,School Districts,Adams 12 Five Star Schools (Adams Co. portion),https://www.adams12.org/,For the small Adams County portion
REGIONAL / ALL MUNICIPALITIES,Property Assessment,Adams County Assessor — Main,https://adcogov.org/assessor,Covers all Adams County parcels regardless of city
REGIONAL / ALL MUNICIPALITIES,Deed / Title Records,Adams County Clerk & Recorder,https://adcogov.org/recording,Official deeds and recording office
REGIONAL / ALL MUNICIPALITIES,Deed / Title Records,Landmark Web Document Search,https://recording.adcogov.org/landmarkweb,Grantor/Grantee search for all Adams County
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,Adams County Open Data Hub,https://data-adcogov.opendata.arcgis.com/,County-wide GIS datasets
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,DRCOG Regional Data Catalog,https://data.drcog.org/,Metro Denver regional data
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,DRCOG Data & Maps,https://www.drcog.org/data-maps-modeling,Regional planning maps
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,DRCOG Community Profiles,https://www.drcog.org/data-maps-modeling/community-profiles,Demographic and growth profiles by municipality
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,Colorado Geospatial Portal,https://geodata.colorado.gov/,Statewide GIS data portal
REGIONAL / ALL MUNICIPALITIES,GIS / Mapping,Colorado Division of Water Resources GIS,https://dwr.colorado.gov/services/data-information/gis,Water rights and irrigation GIS data
REGIONAL / ALL MUNICIPALITIES,Traffic / Transportation,CDOT Traffic Counts (OTIS),https://dtdapps.coloradodot.info/otis,Official Colorado traffic count data by highway/road
REGIONAL / ALL MUNICIPALITIES,Traffic / Transportation,CDOT Open Data (ArcGIS),https://data-cdot.opendata.arcgis.com/,Statewide transportation datasets
REGIONAL / ALL MUNICIPALITIES,Traffic / Transportation,CDOT Highway Traffic Counts Dataset,https://data-cdot.opendata.arcgis.com/datasets/highways-traffic-counts/about,Downloadable traffic count dataset
REGIONAL / ALL MUNICIPALITIES,Entity / Ownership Lookup,Colorado Secretary of State — Business Entity Search,https://www.sos.state.co.us/biz/BusinessEntityCriteriaExt.do,Look up LLCs and ownership entities
REGIONAL / ALL MUNICIPALITIES,Entity / Ownership Lookup,Colorado Secretary of State — Advanced Search,https://www.sos.state.co.us/biz/AdvancedSearchCriteria.do,Advanced entity search
REGIONAL / ALL MUNICIPALITIES,Licensing / Regulation,Colorado Division of Real Estate (DORA),https://dre.colorado.gov/,State real estate license lookups and regulations
REGIONAL / ALL MUNICIPALITIES,Licensing / Regulation,Colorado CORA (Open Records Act) — SOS,https://www.sos.state.co.us/pubs/info_center/cora.html,How to make public records requests
REGIONAL / ALL MUNICIPALITIES,Flood Zone,FEMA Map Service Center,https://msc.fema.gov/,FEMA FIRM — address-specific flood zone lookup
REGIONAL / ALL MUNICIPALITIES,Flood Zone,Colorado Hazard Mapping / RiskMAP,https://coloradohazardmapping.com/hazardMapping/floodplainMapping,State-level flood mapping portal
REGIONAL / ALL MUNICIPALITIES,MLS / Listings,REcolorado MLS (licensed professionals),https://recolorado.com/,Primary Denver metro MLS
REGIONAL / ALL MUNICIPALITIES,MLS / Listings,ColoProperty.com (public listings portal),https://coloproperty.com/,Public-facing MLS listings
REGIONAL / ALL MUNICIPALITIES,MLS / Listings,IRES MLS,https://iresmls.com/,Northern Colorado MLS
REGIONAL / ALL MUNICIPALITIES,School Districts,Adams 12 Five Star Schools,https://www.adams12.org/,Serves Brighton, Commerce City, Federal Heights, Northglenn, Thornton, Westminster (Adams Co. portion)
REGIONAL / ALL MUNICIPALITIES,School Districts,School District 27J (Brighton),https://www.sd27j.org/,Serves Brighton, northeast Thornton, Lochbuie
REGIONAL / ALL MUNICIPALITIES,School Districts,Mapleton School District 1,https://www.mapleton.us/,Serves portions of Commerce City and unincorporated Adams County
REGIONAL / ALL MUNICIPALITIES,School Districts,Aurora Public Schools,https://www.aurorak12.org/,Serves Aurora
REGIONAL / ALL MUNICIPALITIES,School Districts,Cherry Creek School District,https://www.cherrycreekschools.org/,Serves parts of Aurora (Arapahoe Co. portion)
REGIONAL / ALL MUNICIPALITIES,School Districts,Bennett School District 29J,https://www.bsd29j.com/,Serves Bennett
REGIONAL / ALL MUNICIPALITIES,School Districts,Jefferson County Public Schools,https://www.jeffcopublicschools.org/,Serves Westminster and Arvada (Jefferson Co. portions)
